MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HasShed
60,FV,0.0,7050,Reg,Inside,0.0,Somerst,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,3.0,2.0,3.0,0.0,738.0,0.0,319.0,1057.0,4.0,1,SBrkr,1057,872,0,1929,1.0,0.0,2,1,3,1,3.0,7,1,2.0,Attchd,2001.0,Fin,2.0,650.0,2.0,2.0,1,0,235,0,0,0,0,NaN,0,5,2007,WD,Normal,226000.0,0
80,RL,75.0,13860,Reg,Inside,0.0,NAmes,Norm,1Fam,SLvl,8,7,1972,1995,Gable,Plywood,Wd Sdng,None,0.0,3.0,2.0,CBlock,3.0,2.0,0.0,0.0,1410.0,0.0,542.0,1952.0,3.0,1,SBrkr,2000,704,0,2704,1.0,0.0,2,1,4,1,4.0,9,3,2.0,Attchd,1972.0,Fin,2.0,538.0,2.0,2.0,1,269,111,0,0,0,0,MnPrv,0,7,2009,WD,Normal,345000.0,0
60,RL,80.0,10793,Reg,Inside,0.0,NWAmes,RRAn,1Fam,2Story,5,5,1969,1969,Mansard,WdShing,HdBoard,BrkFace,263.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,493.0,287.0,0.0,780.0,4.0,1,SBrkr,780,840,0,1620,0.0,0.0,2,1,4,1,2.0,7,0,5.0,Attchd,1969.0,Fin,2.0,462.0,2.0,2.0,1,208,0,0,0,0,0,GdWo,0,4,2007,WD,Normal,152000.0,0
20,FV,85.0,9187,Reg,Inside,0.0,Somerst,Norm,1Fam,1Story,9,5,2009,2009,Gable,CemntBd,CmentBd,Stone,162.0,4.0,2.0,PConc,4.0,2.0,2.0,0.0,1121.0,0.0,645.0,1766.0,4.0,1,SBrkr,1766,0,0,1766,1.0,0.0,2,1,2,1,4.0,7,1,3.0,Attchd,2009.0,Fin,3.0,478.0,2.0,2.0,1,195,130,0,0,0,0,NaN,0,10,2009,New,Partial,370878.0,0
20,RL,0.0,10530,IR1,Corner,0.0,NAmes,Norm,1Fam,1Story,6,5,1971,1971,Hip,Plywood,Plywood,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,1.0,282.0,35.0,664.0,981.0,2.0,1,SBrkr,981,0,0,981,1.0,0.0,1,1,3,1,2.0,5,0,5.0,Detchd,1979.0,Unf,2.0,576.0,2.0,2.0,1,0,312,40,0,0,0,NaN,0,3,2007,WD,Normal,143250.0,0
20,RL,60.0,7200,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,5,5,1950,1950,Hip,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,5.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,1,SBrkr,1048,0,0,1048,0.0,0.0,1,0,3,1,2.0,7,0,5.0,Detchd,1950.0,Unf,2.0,420.0,2.0,2.0,1,0,27,0,0,0,0,NaN,0,7,2008,WD,Normal,98300.0,0
20,RL,85.0,10452,IR1,Inside,0.0,Edwards,Norm,1Fam,1Story,6,5,1953,1953,Hip,Wd Sdng,Wd Sdng,Stone,216.0,2.0,2.0,CBlock,2.0,2.0,2.0,3.0,500.0,0.0,594.0,1094.0,4.0,1,SBrkr,1094,0,0,1094,0.0,0.0,1,0,3,1,2.0,5,2,3.0,Attchd,1953.0,RFn,2.0,495.0,2.0,2.0,1,0,0,0,0,287,0,NaN,0,6,2008,WD,Normal,155000.0,0
60,RL,70.0,7700,Reg,Inside,0.0,NAmes,PosN,1Fam,2Story,6,5,1966,1966,Gable,MetalSd,MetalSd,BrkFace,351.0,2.0,2.0,CBlock,2.0,2.0,3.0,5.0,0.0,0.0,756.0,756.0,2.0,1,SBrkr,1051,788,0,1839,0.0,0.0,1,1,4,1,2.0,7,1,2.0,Attchd,1966.0,Unf,2.0,442.0,2.0,2.0,1,0,124,216,0,0,0,NaN,0,6,2010,WD,Normal,155000.0,0
180,RM,21.0,1936,Reg,Inside,0.0,MeadowV,Norm,Twnhs,SFoyer,4,6,1970,1970,Gable,CemntBd,CmentBd,None,0.0,2.0,2.0,CBlock,3.0,2.0,1.0,2.0,131.0,499.0,0.0,630.0,3.0,1,SBrkr,630,0,0,630,1.0,0.0,1,0,1,1,2.0,3,0,5.0,NaN,0.0,NaN,0.0,0.0,5.0,5.0,1,0,0,0,0,0,0,MnPrv,0,12,2007,WD,Normal,84500.0,0
60,FV,65.0,8125,Reg,Inside,0.0,Somerst,Norm,1Fam,2Story,7,6,2007,2007,Gable,CemntBd,CmentBd,NaN,0.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,813.0,813.0,4.0,1,SBrkr,822,843,0,1665,0.0,0.0,2,1,3,1,3.0,7,0,5.0,Attchd,2007.0,RFn,2.0,562.0,2.0,2.0,1,0,0,0,0,0,0,NaN,0,5,2008,WD,Normal,205950.0,0
70,RL,60.0,9084,Reg,Inside,0.0,Edwards,Artery,1Fam,2Story,4,5,1940,1950,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,2.0,2.0,2.0,5.0,0.0,0.0,755.0,755.0,2.0,1,SBrkr,755,755,0,1510,1.0,0.0,1,0,4,1,2.0,7,1,3.0,Detchd,1940.0,Unf,1.0,296.0,1.0,0.0,0,120,0,0,0,0,0,MnPrv,0,10,2009,WD,Normal,108000.0,0
60,RL,70.0,8750,Reg,Inside,0.0,CollgCr,Norm,1Fam,2Story,7,5,1996,1996,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,880.0,880.0,4.0,1,SBrkr,909,807,0,1716,0.0,0.0,2,1,2,1,3.0,7,1,2.0,Attchd,1996.0,RFn,2.0,512.0,2.0,2.0,1,0,120,0,0,0,0,NaN,0,7,2009,WD,Normal,191000.0,0
50,RM,60.0,10320,Reg,Inside,0.0,IDOTRR,Norm,1Fam,1.5Fin,6,7,1906,1995,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,5.0,0.0,0.0,756.0,756.0,4.0,1,SBrkr,756,713,0,1469,0.0,0.0,1,0,3,1,2.0,7,0,5.0,Detchd,1906.0,Unf,1.0,216.0,2.0,2.0,1,57,0,239,0,0,0,MnPrv,0,6,2008,WD,Normal,135000.0,0
20,RL,91.0,10437,IR1,Inside,0.0,NoRidge,Norm,1Fam,1Story,8,6,1995,1995,Hip,MetalSd,MetalSd,BrkFace,660.0,3.0,3.0,PConc,3.0,2.0,0.0,0.0,1696.0,0.0,413.0,2109.0,4.0,1,SBrkr,2113,0,0,2113,1.0,0.0,2,1,2,1,3.0,7,1,2.0,Attchd,1995.0,Fin,3.0,839.0,2.0,2.0,1,236,46,0,0,0,0,NaN,0,8,2008,WD,Normal,350000.0,0
160,RM,21.0,1680,Reg,Inside,0.0,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,ImStucc,BrkFace,381.0,2.0,2.0,CBlock,2.0,2.0,3.0,5.0,0.0,0.0,525.0,525.0,2.0,1,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,2.0,6,0,5.0,Detchd,1971.0,Unf,1.0,264.0,2.0,2.0,1,0,0,0,0,0,0,NaN,0,3,2010,WD,Family,88000.0,0
20,RL,72.0,10007,IR1,Inside,0.0,NAmes,Norm,1Fam,1Story,5,7,1959,2006,Gable,HdBoard,HdBoard,BrkFace,54.0,3.0,2.0,CBlock,2.0,2.0,3.0,1.0,806.0,0.0,247.0,1053.0,4.0,1,SBrkr,1053,0,0,1053,1.0,0.0,1,1,3,1,3.0,5,0,5.0,Attchd,1959.0,RFn,1.0,312.0,2.0,2.0,1,0,0,0,0,0,0,MnPrv,0,8,2008,WD,Normal,145500.0,0
70,RL,60.0,7200,Reg,Inside,1.0,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,2.0,1.0,BrkTil,3.0,2.0,3.0,5.0,0.0,0.0,776.0,776.0,2.0,1,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,1,2.0,6,1,3.0,Attchd,1931.0,RFn,1.0,270.0,2.0,2.0,0,0,0,112,0,0,0,MnPrv,0,2,2008,WD,Normal,149000.0,0
50,RL,78.0,17503,Reg,Inside,0.0,NAmes,Artery,1Fam,1.5Fin,6,5,1948,1950,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,5.0,0.0,0.0,912.0,912.0,2.0,1,SBrkr,912,546,0,1458,0.0,1.0,1,0,3,1,2.0,6,1,3.0,Attchd,1948.0,Unf,1.0,330.0,2.0,2.0,1,192,0,0,0,0,0,NaN,0,1,2010,WD,Abnorml,97500.0,0
20,RL,75.0,9937,Reg,Corner,0.0,Edwards,Norm,1Fam,1Story,5,7,1964,1999,Hip,MetalSd,MetalSd,None,0.0,2.0,3.0,PConc,2.0,2.0,3.0,2.0,637.0,0.0,849.0,1486.0,4.0,1,SBrkr,1486,0,0,1486,1.0,0.0,1,0,3,1,2.0,7,0,5.0,Detchd,1968.0,Fin,2.0,480.0,2.0,2.0,1,0,0,0,0,0,0,MnPrv,0,3,2009,WD,Normal,167000.0,0
60,RL,0.0,12384,Reg,CulDSac,0.0,NWAmes,Norm,1Fam,2Story,7,7,1976,1976,Gable,Plywood,Plywood,BrkFace,233.0,2.0,2.0,CBlock,3.0,2.0,3.0,5.0,0.0,0.0,793.0,793.0,2.0,1,SBrkr,1142,793,0,1935,0.0,0.0,2,1,3,1,2.0,7,1,2.0,Attchd,1976.0,RFn,2.0,550.0,2.0,2.0,1,0,113,252,0,0,0,NaN,0,11,2007,WD,Normal,197900.0,0
60,RL,52.0,46589,IR2,CulDSac,0.0,NoRidge,Norm,1Fam,2Story,8,7,1994,2005,Hip,VinylSd,VinylSd,BrkFace,528.0,3.0,2.0,PConc,3.0,3.0,3.0,0.0,1361.0,180.0,88.0,1629.0,4.0,1,SBrkr,1686,762,0,2448,1.0,0.0,2,1,4,1,3.0,8,1,2.0,Attchd,1994.0,RFn,3.0,711.0,2.0,2.0,1,517,76,0,0,0,0,NaN,0,7,2009,WD,Normal,402000.0,0
20,RL,120.0,13560,Reg,Corner,0.0,NAmes,Norm,1Fam,1Story,6,3,1968,1968,Hip,Wd Sdng,Wd Sdng,BrkFace,216.0,2.0,2.0,CBlock,1.0,1.0,3.0,5.0,0.0,0.0,1392.0,1392.0,3.0,1,SBrkr,1392,0,0,1392,1.0,0.0,1,0,2,1,2.0,5,2,2.0,Attchd,1968.0,RFn,2.0,576.0,2.0,2.0,1,0,0,240,0,0,0,NaN,0,7,2009,WD,Normal,110000.0,0
85,RL,90.0,10012,Reg,Inside,0.0,Edwards,Norm,1Fam,SFoyer,4,5,1972,1972,Gable,Plywood,Plywood,None,0.0,2.0,2.0,CBlock,3.0,2.0,1.0,2.0,920.0,180.0,38.0,1138.0,2.0,1,SBrkr,1181,0,0,1181,1.0,0.0,2,0,3,1,2.0,6,0,5.0,Detchd,1974.0,RFn,2.0,588.0,2.0,2.0,1,0,0,180,0,0,0,MnPrv,0,4,2008,WD,Normal,137500.0,0
20,RL,49.0,20896,IR2,CulDSac,0.0,Somerst,RRAn,1Fam,1Story,8,5,2005,2006,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,4.0,2.0,2.0,0.0,1721.0,0.0,356.0,2077.0,4.0,1,SBrkr,2097,0,0,2097,1.0,0.0,1,1,1,1,4.0,8,1,4.0,Attchd,2005.0,Fin,3.0,1134.0,2.0,2.0,1,192,267,0,0,0,0,NaN,0,1,2006,New,Partial,423000.0,0
60,RL,106.0,11194,IR1,Corner,0.0,Gilbert,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,40.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,1406.0,1406.0,4.0,1,SBrkr,1454,482,0,1936,0.0,0.0,2,1,3,1,3.0,7,1,2.0,Attchd,2000.0,RFn,2.0,504.0,2.0,2.0,1,188,124,0,0,0,0,NaN,0,11,2006,WD,Normal,230500.0,0
60,RL,0.0,18450,IR1,Inside,0.0,NAmes,Norm,1Fam,2Story,6,5,1965,1979,Flat,Plywood,Plywood,BrkCmn,113.0,2.0,3.0,CBlock,3.0,2.0,3.0,4.0,187.0,723.0,111.0,1021.0,2.0,1,SBrkr,1465,915,0,2380,0.0,0.0,2,1,3,1,2.0,7,1,0.0,CarPort,1965.0,Unf,2.0,596.0,2.0,2.0,1,0,265,0,0,0,0,NaN,0,8,2007,WD,Abnorml,129000.0,0
20,RL,65.0,8125,Reg,Inside,0.0,SawyerW,Norm,1Fam,1Story,6,5,1994,1998,Gable,HdBoard,HdBoard,BrkFace,258.0,2.0,2.0,PConc,3.0,2.0,3.0,0.0,1138.0,0.0,270.0,1408.0,4.0,1,SBrkr,1679,0,0,1679,1.0,0.0,2,0,3,1,3.0,7,1,1.0,Attchd,1994.0,RFn,2.0,575.0,2.0,2.0,1,224,42,0,0,0,0,NaN,0,10,2008,WD,Normal,193500.0,0
20,RL,0.0,14175,Reg,Corner,1.0,Sawyer,Norm,1Fam,1Story,5,6,1956,1987,Gable,CemntBd,Wd Sdng,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,988.0,0.0,200.0,1188.0,3.0,1,SBrkr,1437,0,0,1437,1.0,0.0,1,1,3,1,2.0,6,1,2.0,Detchd,1999.0,Unf,2.0,576.0,2.0,2.0,1,304,0,0,0,0,0,NaN,0,11,2006,WD,Normal,168000.0,0
30,RL,80.0,11600,Reg,Inside,0.0,Crawfor,Norm,1Fam,1Story,4,5,1922,1950,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,BrkTil,1.0,2.0,3.0,5.0,0.0,0.0,700.0,700.0,4.0,1,SBrkr,1180,0,0,1180,0.0,0.0,1,0,2,1,1.0,5,1,3.0,Detchd,1922.0,Unf,1.0,252.0,2.0,1.0,1,0,0,67,0,0,0,NaN,0,7,2006,WD,Normal,137500.0,0
60,RL,64.0,8633,Reg,FR2,0.0,CollgCr,Norm,1Fam,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,3.0,2.0,3.0,0.0,193.0,0.0,545.0,738.0,4.0,1,SBrkr,738,738,0,1476,1.0,0.0,2,1,3,1,3.0,7,0,5.0,Attchd,2005.0,Fin,2.0,540.0,2.0,2.0,1,100,35,0,0,0,0,NaN,0,2,2009,WD,Normal,173500.0,0
70,RH,54.0,6629,Reg,Inside,0.0,Edwards,Artery,1Fam,2Story,6,6,1925,1950,Gambrel,Wd Sdng,Wd Sdng,None,0.0,2.0,3.0,BrkTil,2.0,2.0,3.0,2.0,551.0,0.0,121.0,672.0,2.0,0,SBrkr,697,672,0,1369,1.0,0.0,2,0,3,1,2.0,6,0,5.0,Detchd,1930.0,Unf,1.0,300.0,2.0,2.0,1,147,0,0,0,0,0,NaN,0,7,2009,WD,Normal,103600.0,0
20,RL,0.0,11250,IR1,Inside,0.0,Veenker,Norm,1Fam,1Story,6,6,1977,1977,Gable,Plywood,Plywood,None,0.0,3.0,2.0,CBlock,3.0,2.0,3.0,1.0,767.0,0.0,441.0,1208.0,2.0,1,SBrkr,1208,0,0,1208,1.0,0.0,1,1,3,1,2.0,6,1,2.0,Attchd,1977.0,RFn,2.0,546.0,2.0,2.0,1,198,42,0,0,0,0,NaN,0,6,2006,WD,Normal,165000.0,0
20,RL,110.0,14442,Reg,Inside,0.0,Crawfor,Norm,1Fam,1Story,6,7,1957,2004,Hip,CemntBd,CmentBd,BrkFace,106.0,2.0,2.0,PConc,2.0,2.0,3.0,0.0,1186.0,0.0,291.0,1477.0,4.0,1,SBrkr,1839,0,0,1839,1.0,0.0,2,0,3,1,3.0,7,2,2.0,Attchd,1957.0,Fin,2.0,416.0,2.0,2.0,1,0,87,0,0,200,0,NaN,0,6,2007,WD,Normal,257500.0,0
20,RL,80.0,9200,Reg,Inside,0.0,NAmes,Norm,1Fam,1Story,6,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,892.0,0.0,244.0,1136.0,2.0,1,SBrkr,1136,0,0,1136,1.0,0.0,1,0,3,1,2.0,5,1,3.0,Attchd,1965.0,RFn,1.0,384.0,2.0,2.0,1,426,0,0,0,0,0,NaN,0,7,2008,WD,Normal,140000.0,0
160,RL,24.0,2289,Reg,Inside,0.0,NPkVill,Norm,Twnhs,2Story,6,6,1978,1978,Gable,Plywood,Brk Cmn,None,0.0,2.0,2.0,CBlock,2.0,2.0,3.0,1.0,311.0,0.0,544.0,855.0,2.0,1,SBrkr,855,586,0,1441,0.0,0.0,2,1,3,1,2.0,7,1,2.0,Attchd,1978.0,Unf,2.0,440.0,2.0,2.0,1,28,0,0,0,0,0,NaN,0,4,2009,WD,Normal,148500.0,0
70,RM,60.0,9600,Reg,Inside,0.0,OldTown,Norm,1Fam,2Story,4,2,1900,1950,Gable,AsbShng,Stucco,None,0.0,2.0,2.0,BrkTil,2.0,1.0,3.0,5.0,0.0,0.0,1095.0,1095.0,1.0,0,SBrkr,1095,679,0,1774,1.0,0.0,2,0,4,2,2.0,8,0,5.0,2Types,1920.0,Unf,3.0,779.0,1.0,1.0,0,0,0,90,0,0,0,NaN,0,5,2006,WD,Normal,87000.0,0
30,RL,52.0,9022,Reg,Inside,0.0,OldTown,Norm,1Fam,1Story,5,8,1924,2006,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,768.0,768.0,4.0,1,SBrkr,792,0,0,792,0.0,0.0,1,0,2,1,3.0,5,0,5.0,Detchd,1924.0,Unf,1.0,240.0,1.0,1.0,0,316,0,120,0,0,0,NaN,0,5,2009,WD,Normal,109500.0,0
20,RL,80.0,11844,IR1,Inside,0.0,StoneBr,Norm,1Fam,1Story,8,5,2008,2008,Hip,VinylSd,VinylSd,Stone,464.0,3.0,2.0,PConc,4.0,2.0,2.0,5.0,0.0,0.0,2046.0,2046.0,4.0,1,SBrkr,2046,0,0,2046,0.0,0.0,2,1,3,1,3.0,7,1,3.0,Attchd,2008.0,Fin,3.0,834.0,2.0,2.0,1,322,82,0,0,0,0,NaN,0,7,2009,New,Partial,372500.0,0
20,RL,0.0,9945,IR1,Inside,0.0,Sawyer,Norm,1Fam,1Story,5,5,1961,1961,Hip,Wd Sdng,Wd Sdng,BrkFace,57.0,2.0,2.0,CBlock,2.0,2.0,3.0,3.0,827.0,0.0,161.0,988.0,2.0,1,SBrkr,988,0,0,988,1.0,0.0,1,0,3,1,2.0,5,0,5.0,Detchd,1963.0,Unf,2.0,572.0,2.0,2.0,1,0,0,0,0,0,0,NaN,0,10,2007,WD,Normal,128500.0,0
120,RL,50.0,8012,Reg,Inside,0.0,SawyerW,Norm,TwnhsE,1Story,6,5,1980,1980,Gable,Plywood,Plywood,None,0.0,2.0,2.0,CBlock,3.0,2.0,3.0,2.0,543.0,119.0,261.0,923.0,2.0,1,SBrkr,923,0,0,923,0.0,0.0,2,0,2,1,2.0,5,1,2.0,Attchd,1980.0,RFn,1.0,264.0,2.0,2.0,1,80,0,0,0,0,0,NaN,0,5,2010,WD,Normal,143000.0,0
50,RH,55.0,4500,IR2,Inside,0.0,SWISU,Norm,1Fam,1.5Fin,5,5,1932,2000,Gable,VinylSd,Stucco,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,3.0,182.0,0.0,611.0,793.0,4.0,1,SBrkr,848,672,0,1520,0.0,0.0,1,0,3,1,2.0,6,0,5.0,Detchd,1968.0,Unf,1.0,281.0,2.0,2.0,1,0,0,56,0,0,0,NaN,0,7,2009,WD,Abnorml,159434.0,0
120,RL,0.0,2887,Reg,Inside,0.0,ClearCr,Norm,1Fam,1Story,6,5,1996,1997,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,PConc,3.0,2.0,2.0,0.0,1003.0,0.0,288.0,1291.0,4.0,1,SBrkr,1291,0,0,1291,1.0,0.0,1,0,2,1,3.0,6,1,3.0,Attchd,1996.0,Unf,2.0,431.0,2.0,2.0,1,307,0,0,0,0,0,NaN,0,11,2008,WD,Normal,173000.0,0
20,RL,90.0,11248,IR1,Corner,0.0,CollgCr,Norm,1Fam,1Story,9,5,2002,2002,Hip,VinylSd,VinylSd,Stone,215.0,3.0,2.0,PConc,3.0,2.0,1.0,0.0,1059.0,0.0,567.0,1626.0,4.0,1,SBrkr,1668,0,0,1668,1.0,0.0,2,0,3,1,3.0,7,1,2.0,Attchd,2002.0,Fin,3.0,702.0,2.0,2.0,1,257,45,0,0,0,0,NaN,0,7,2007,WD,Normal,285000.0,0
60,RL,58.0,16770,IR2,CulDSac,0.0,NoRidge,Norm,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,30.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,1195.0,1195.0,3.0,1,SBrkr,1195,644,0,1839,0.0,0.0,2,1,4,1,2.0,7,0,5.0,Attchd,1998.0,Fin,2.0,486.0,2.0,2.0,1,0,81,0,0,0,0,NaN,0,6,2010,WD,Normal,221000.0,0
160,RL,0.0,5062,IR1,CulDSac,0.0,StoneBr,Norm,TwnhsE,2Story,7,5,1984,1984,Gable,HdBoard,HdBoard,None,0.0,3.0,2.0,CBlock,3.0,2.0,2.0,0.0,828.0,182.0,180.0,1190.0,3.0,1,SBrkr,1190,900,0,2090,1.0,0.0,2,0,3,1,3.0,6,1,2.0,Attchd,1984.0,Fin,2.0,577.0,2.0,2.0,1,219,0,0,0,0,0,NaN,0,9,2007,WD,Normal,207500.0,0
60,FV,84.0,10207,Reg,Inside,0.0,Somerst,Norm,1Fam,2Story,7,6,2007,2007,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,3.0,2.0,3.0,5.0,0.0,0.0,874.0,874.0,4.0,1,SBrkr,874,887,0,1761,0.0,0.0,3,0,3,1,3.0,7,0,5.0,Attchd,2007.0,Fin,2.0,578.0,2.0,2.0,1,144,105,0,0,0,0,NaN,0,8,2007,New,Partial,227875.0,0
160,FV,0.0,5105,IR2,FR2,0.0,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,MetalSd,MetalSd,None,0.0,3.0,2.0,PConc,3.0,2.0,3.0,0.0,239.0,0.0,312.0,551.0,4.0,1,SBrkr,551,551,0,1102,0.0,0.0,2,1,2,1,3.0,4,0,5.0,Detchd,2004.0,Unf,2.0,480.0,2.0,2.0,1,0,60,0,0,0,0,NaN,0,3,2007,WD,Normal,148800.0,0
20,RL,60.0,8089,Reg,Inside,0.0,StoneBr,Norm,1Fam,1Story,8,6,2007,2007,Gable,MetalSd,MetalSd,BrkFace,0.0,3.0,2.0,PConc,3.0,2.0,1.0,0.0,945.0,0.0,474.0,1419.0,4.0,1,SBrkr,1419,0,0,1419,1.0,0.0,2,0,2,1,3.0,7,1,3.0,Attchd,2007.0,RFn,2.0,567.0,2.0,2.0,1,140,0,0,0,0,0,NaN,0,10,2007,New,Partial,392000.0,0
120,RL,61.0,7577,IR1,Corner,0.0,NridgHt,Norm,TwnhsE,1Story,6,5,2005,2006,Gable,VinylSd,VinylSd,Stone,256.0,3.0,2.0,PConc,3.0,2.0,1.0,1.0,20.0,0.0,1342.0,1362.0,4.0,1,SBrkr,1362,0,0,1362,0.0,0.0,2,0,2,1,3.0,6,1,3.0,Attchd,2005.0,RFn,2.0,460.0,2.0,2.0,1,192,28,0,0,0,0,NaN,0,6,2007,WD,Normal,194700.0,0
120,RM,0.0,4426,Reg,Inside,0.0,CollgCr,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,BrkFace,147.0,3.0,2.0,PConc,3.0,2.0,0.0,0.0,697.0,0.0,151.0,848.0,4.0,1,SBrkr,848,0,0,848,1.0,0.0,1,0,1,1,3.0,3,1,2.0,Attchd,2004.0,RFn,2.0,420.0,2.0,2.0,1,149,0,0,0,0,0,NaN,0,5,2008,WD,Normal,141000.0,0
60,RL,104.0,21535,IR1,Corner,0.0,NoRidge,Norm,1Fam,2Story,10,6,1994,1995,Gable,HdBoard,HdBoard,BrkFace,1170.0,4.0,2.0,PConc,4.0,2.0,0.0,0.0,1455.0,0.0,989.0,2444.0,4.0,1,SBrkr,2444,1872,0,4316,0.0,1.0,3,1,4,1,4.0,10,2,4.0,Attchd,1994.0,Fin,3.0,832.0,2.0,2.0,1,382,50,0,0,0,0,NaN,0,1,2007,WD,Normal,755000.0,0
60,RL,42.0,26178,IR1,Inside,1.0,Timber,Norm,1Fam,2Story,7,5,1989,1990,Hip,MetalSd,MetalSd,BrkFace,293.0,3.0,2.0,PConc,3.0,2.0,0.0,0.0,965.0,0.0,245.0,1210.0,4.0,1,SBrkr,1238,1281,0,2519,1.0,0.0,2,1,4,1,3.0,9,2,3.0,Attchd,1989.0,RFn,2.0,628.0,2.0,2.0,1,320,27,0,0,0,0,NaN,0,4,2006,WD,Normal,335000.0,0
30,RL,60.0,5400,Reg,Corner,2.0,OldTown,Norm,1Fam,1Story,5,6,1921,1968,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,1073.0,1073.0,4.0,1,SBrkr,1073,0,0,1073,0.0,0.0,1,0,2,1,2.0,4,0,5.0,Detchd,1968.0,Unf,1.0,326.0,2.0,2.0,1,0,0,112,0,0,0,NaN,0,12,2006,WD,Abnorml,108480.0,0
50,RM,51.0,6120,Reg,Corner,0.0,BrkSide,Norm,1Fam,1.5Fin,5,6,1936,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,1.0,BrkTil,2.0,2.0,3.0,5.0,0.0,0.0,927.0,927.0,2.0,1,SBrkr,1067,472,0,1539,0.0,0.0,1,1,3,1,2.0,5,0,5.0,Detchd,1995.0,Unf,2.0,576.0,2.0,2.0,1,112,0,0,0,0,0,MnPrv,0,4,2009,WD,Normal,141500.0,0
20,RL,54.0,13811,IR1,Inside,0.0,Timber,Norm,1Fam,1Story,6,6,1987,1987,Gable,HdBoard,HdBoard,BrkFace,72.0,2.0,2.0,CBlock,3.0,3.0,3.0,0.0,980.0,40.0,92.0,1112.0,3.0,1,SBrkr,1137,0,0,1137,1.0,0.0,2,0,2,1,3.0,5,1,2.0,Attchd,1987.0,Unf,2.0,551.0,2.0,2.0,1,125,0,0,0,0,0,NaN,0,7,2006,WD,Normal,176000.0,0
